#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
75.738716,149,725.664416
75.969361,149,726.400929
64.224307,149,727.219993
65.494554,149,727.967751
73.29406,149,728.763459
77.22468,149,729.581755
46.636744,82,730.457056
76.338094,149,731.03181
81.363162,149,731.959312
49.74274,89,732.687008
-59.754282,75,733.194595
89.308455,149,733.632232
-59.763714,83,734.335858
45.416181,86,734.740855
59.685489,99,735.200605
91.552764,149,735.774358
81.826288,149,736.525747
88.484393,149,737.318231
77.14927,149,738.175025
86.444116,149,738.930446
97.092588,149,739.662
102.872792,149,740.395232
-41.655183,90,741.099842
82.096112,149,741.632433
90.827223,149,742.472486
74.530425,149,743.363396
97.99592,149,744.173188
98.823268,149,744.907072
121.093458,149,745.662745
102.207953,149,746.420836
108.743781,149,747.152179
105.676678,149,747.93575
109.30879,149,748.769458
112.379786,149,749.598696
114.205618,149,750.410869
-442.236133,95,751.097462
128.375503,149,751.64688
-65.049465,16,752.324036
111.465843,149,752.514039
102.068845,149,753.276202
91.605493,149,754.171073
73.513942,149,754.990945
102.14703,149,755.791964
100.403856,149,756.712549
52.408177,149,757.464865
87.341962,149,758.252119
-102.53341,149,759.084711
97.029102,149,759.875622
103.373389,149,760.637632
92.424116,149,761.503791
99.3792,149,762.304183
98.730976,149,763.104817
114.878478,149,763.952031
114.647954,149,764.782573
98.560489,149,765.559362
96.413894,149,766.307757
54.741419,149,767.055321
101.911577,149,767.777878
49.177092,149,768.500185
63.892239,149,769.317368
54.354079,149,770.093946
74.178837,149,770.815755
46.647822,149,771.669378
57.804066,149,772.576659
68.825871,149,773.383866
70.081321,149,774.162543
51.008779,149,774.989839
30.87743,73,775.7694
-535.090886,149,776.259761
62.48419,149,777.039395
57.690508,149,777.874613
47.211059,149,778.620173
61.844539,149,779.413926
55.036032,149,780.166427
65.568439,149,780.933684
62.143725,149,781.74487
63.657744,149,782.4671
63.968241,149,783.287585
62.42503,149,784.092883
64.985274,149,784.838352
54.54952,149,785.604699
82.813386,149,786.348547
70.445175,149,787.113843
80.050536,149,787.881564
61.551369,149,788.661569
47.64488,149,789.430061
77.275424,149,790.206527
76.525058,149,790.929306
70.428446,149,791.678081
-12.206092,149,792.445225
82.660929,149,793.212212
78.631142,149,793.990019
76.824037,149,794.753476
84.95432,149,795.513961
68.945706,149,796.371463
71.340999,149,797.243933
71.958713,149,798.007646
82.654894,149,798.772014
82.255173,149,799.55353
72.568174,149,800.291988
66.609175,149,801.026746
65.77278,149,801.771472
70.942244,149,802.48291
104.08236,149,803.202962
75.972616,149,803.914223
84.241643,149,804.660728
65.646924,149,805.415974
85.074823,149,806.152838
65.050754,149,806.895856
74.390554,149,807.635316
79.607905,149,808.33971
87.447511,149,809.152502
87.657345,149,809.909953
74.07559,149,810.630638
86.231268,149,811.378781
108.859351,149,812.14012
98.557614,149,812.863598
97.780489,149,813.677325
84.798248,149,814.48185
91.289191,149,815.291301
82.008034,149,816.097552
79.300199,149,816.889059
81.994526,149,817.59583
83.925163,149,818.353375
74.062515,149,819.099677
80.914836,149,819.82433
77.789579,149,820.518109
78.541361,149,821.248132
81.451398,149,821.975833
76.713028,149,822.677113
79.655367,149,823.465014
72.227922,149,824.194756
75.339475,149,824.93134
79.602238,149,825.64468
87.065474,149,826.406883
73.839504,149,827.224402
84.130075,149,827.957753
87.774611,149,828.687055
71.931193,149,829.465422
-27.196564,149,830.211914
86.078502,149,830.909655
72.172226,149,831.741429
93.546284,149,832.541686
74.678063,149,833.356937
92.45551,149,834.286603
82.123492,149,835.514425
75.252573,149,836.26665
